player_id,first_name,last_name,player_name,jersey_number,position,date_of_birth,birthplace,hometown,nationality,height,shoots,catches,primary_image,most_recent_team,most_recent_team_code
11,Sophie,Jaques,Sophie Jaques,16,D,2000-10-16,"Toronto, Ontario, Canada","Toronto, ON",Canada,5'8,R,,https://assets.leaguestat.com/pwhl/240x240/11.jpg,Vancouver Goldeneyes,VAN
110,Amanda,Pelkey,Amanda Pelkey,16,LW,1993-05-29,"Montpelier, Vermont, United States","Montpelier, VT",United States,5'3,R,R,https://assets.leaguestat.com/pwhl/240x240/110.jpg,Boston Fleet,BOS
111,Taylor,Wenczkowski,Taylor Wenczkowski,12,F,1997-09-25,NA,,,,R,R,https://assets.leaguestat.com/pwhl/240x240/111.jpg,PWHL Boston,BOS
112,Lauren,MacInnis,Lauren MacInnis,22,D,1998-10-19,NA,,,,R,R,https://assets.leaguestat.com/pwhl/240x240/112.jpg,PWHL Ottawa,OTT
114,Abby,Boreen,Abby Boreen,22,F,2000-04-03,"Somerset, Wisconsin, United States","Somerset, WI",United States,5'8,R,R,https://assets.leaguestat.com/pwhl/240x240/114.jpg,Vancouver Goldeneyes,VAN
115,Michela,Cava,Michela Cava,86,F,1994-03-26,"Thunder Bay, Ontario, Canada","Thunder Bay, ON",Canada,5'4,R,R,https://assets.leaguestat.com/pwhl/240x240/115.jpg,Vancouver Goldeneyes,VAN
116,Clair,DeGeorge,Clair DeGeorge,8,F,1999-06-07,"Anchorage, Alaska, United States","Anchorage, AK",United States,5'11,L,R,https://assets.leaguestat.com/pwhl/240x240/116.jpg,Toronto Sceptres,TOR
118,Emma,Greco,Emma Greco,25,D,1995-03-06,"Burlington, Ontario, Canada","Burlington, ON",Canada,5'9,L,R,https://assets.leaguestat.com/pwhl/240x240/118.jpg,Vancouver Goldeneyes,VAN
119,Dominique,Kremer,Dominique Kremer,36,D,1997-06-09,NA,"Napoleonville, LA",,,R,R,https://assets.leaguestat.com/pwhl/240x240/119.jpg,PWHL Minnesota,MIN
12,Megan,Keller,Megan Keller,5,D,1996-05-01,"Farmington, Michigan, United States","Farmington, MI",United States,5'11,L,,https://assets.leaguestat.com/pwhl/240x240/12.jpg,Boston Fleet,BOS
125,Victoria,Bach,Victoria Bach,12,F,1996-07-12,"Milton, Ontario, Canada","Milton, ON",Canada,5'4,L,R,https://assets.leaguestat.com/pwhl/240x240/125.jpg,Ottawa Charge,OTT
126,Samantha,Cogan,Samantha Cogan,17,F,1997-07-07,NA,"Ottawa, ON",,"5'8""",L,R,https://assets.leaguestat.com/pwhl/240x240/126.jpg,Toronto Sceptres,TOR
127,Jess,Jones,Jess Jones,23,F,1990-08-30,NA,"Picton, ON",,,L,R,https://assets.leaguestat.com/pwhl/240x240/127.jpg,PWHL Toronto,TOR
128,Kaitlin,Willoughby,Kaitlin Willoughby,19,F,1995-03-26,"Prince Albert, Saskatchewan, Canada","Prince Albert, SK",Canada,"5'6""",R,R,https://assets.leaguestat.com/pwhl/240x240/128.jpg,Montréal Victoire,MTL
129,Mellissa,Channell-Watkins,Mellissa Channell-Watkins,23,D,1994-12-16,"Plymouth, Michigan, United States","Plymouth, MI",United States,5'4,L,R,https://assets.leaguestat.com/pwhl/240x240/129.jpg,Vancouver Goldeneyes,VAN
13,Hilary,Knight,Hilary Knight,21,F,1989-07-12,"Sun Valley, Idaho, United States","Sun Valley, ID",United States,5'11,R,,https://assets.leaguestat.com/pwhl/240x240/13.jpg,Seattle Torrent,SEA
131,Olivia,Knowles,Olivia Knowles,9,D,1999-01-24,"Campbell River, British Columbia, Canada","Campbell River, BC",Canada,5'9,R,R,https://assets.leaguestat.com/pwhl/240x240/131.jpg,New York Sirens,NY
132,Jessica,Kondas,Jessica Kondas,2,D,2000-01-03,"Calgary, Alberta, Canada","Calgary, AB",Canada,"5'9""",R,R,https://assets.leaguestat.com/pwhl/240x240/132.jpg,Toronto Sceptres,TOR
133,Lauriane,Rougeau,Lauriane Rougeau,5,D,1990-04-12,NA,"Beaconsfield, QC",,,L,R,https://assets.leaguestat.com/pwhl/240x240/133.jpg,PWHL Toronto,TOR
136,Rosalie,Demers,Rosalie Demers,81,F,2000-06-15,NA,"Blainville, QC",,,L,R,https://assets.leaguestat.com/pwhl/240x240/136.jpg,PWHL Ottawa,OTT
137,Fanni,Garát-Gasparics,Fanni Garát-Gasparics,94,F,1994-11-20,NA,"Budapest, Hungary",,,R,R,https://assets.leaguestat.com/pwhl/240x240/137.jpg,PWHL Ottawa,OTT
138,Mikyla,Grant-Mentis,Mikyla Grant-Mentis,13,F,1998-07-15,"Brampton, Ontario, Canada","Brampton, ON",Canada,5'6,L,R,https://assets.leaguestat.com/pwhl/240x240/138.jpg,Seattle Torrent,SEA
14,Nicole,Kosta,Nicole Kosta,77,F,1993-02-27,NA,"Mississauga, ON",,,R,,https://assets.leaguestat.com/pwhl/240x240/14.jpg,PWHL Boston,BOS
141,Akane,Shiga,Akane Shiga,11,F,2001-03-03,NA,"Obihiro/Hokkaido, Japan",,,R,R,https://assets.leaguestat.com/pwhl/240x240/141.jpg,PWHL Ottawa,OTT
142,Natalie,Snodgrass,Natalie Snodgrass,8,F,1998-12-17,"Eagan, Minnesota, United States","Eagan, MN",United States,"5'6""",L,R,https://assets.leaguestat.com/pwhl/240x240/142.jpg,Seattle Torrent,SEA
144,Victoria,Howran,Victoria Howran,5,D,1998-06-11,NA,"Bancroft, ON",,,L,R,https://assets.leaguestat.com/pwhl/240x240/144.jpg,PWHL Ottawa,OTT
146,Alexa,Gruschow,Alexa Gruschow,16,F,1994-04-16,NA,"Mechanicsburg, PA",,,R,R,https://assets.leaguestat.com/pwhl/240x240/146.jpg,New York Sirens,NY
147,Savannah,Norcross,Savannah Norcross,7,F,2000-06-10,"Lynn, Massachussetts, United States","Lynn, MA",United States,5'7,R,R,https://assets.leaguestat.com/pwhl/240x240/147.jpg,New York Sirens,NY
148,Madison,Packer,Madison Packer,23,F,1991-06-25,NA,"Birmingham, MI",,,R,R,https://assets.leaguestat.com/pwhl/240x240/148.jpg,New York Sirens,NY
149,Jill,Saulnier,Jill Saulnier,44,F,1992-03-07,"Halifax, Nova Scotia, Canada","Halifax, NS",Canada,5'5,L,R,https://assets.leaguestat.com/pwhl/240x240/149.jpg,Boston Fleet,BOS
15,Alina,Müller,Alina Müller,11,F,1998-03-12,"Winterthur, Switzerland","Winterthur, SWI",Switzerland,"5'5""",L,,https://assets.leaguestat.com/pwhl/240x240/15.jpg,Boston Fleet,BOS
150,Taylor,Baker,Taylor Baker,4,D,1997-07-30,"Toronto, Ontario, Canada","Toronto, ON",Canada,5'5,R,R,https://assets.leaguestat.com/pwhl/240x240/150.jpg,New York Sirens,NY
152,Johanna,Fällman,Johanna Fällman,59,D,1990-06-21,NA,"Lulea, Sweden",,,L,R,https://assets.leaguestat.com/pwhl/240x240/152.jpg,PWHL New York,NY
153,Carley,Olivier,Carley Olivier,74,D,1999-05-13,NA,"Sudbury, ON",,,R,R,https://assets.leaguestat.com/pwhl/240x240/153.jpg,PWHL New York,NY
156,Gabrielle,David,Gabrielle David,8,F,1999-06-22,"Drummondville, Québec, Canada","Drummondville, QC",Canada,5'4,R,R,https://assets.leaguestat.com/pwhl/240x240/156.jpg,Montréal Victoire,MTL
157,Catherine,Dubois,Catherine Dubois,28,F,1995-07-29,"Charlesbourg, Québec, Canada","Charlesbourg, QC",Canada,"5'10""",L,R,https://assets.leaguestat.com/pwhl/240x240/157.jpg,Montréal Victoire,MTL
158,Sarah,Lefort,Sarah Lefort,16,F,1994-02-09,NA,"Ormstown, QC",,,L,R,https://assets.leaguestat.com/pwhl/240x240/158.jpg,PWHL Montreal,MTL
159,Leah,Lum,Leah Lum,12,F,1996-05-12,NA,"Richmond, BC",,,L,R,https://assets.leaguestat.com/pwhl/240x240/159.jpg,PWHL Montreal,MTL
16,Jamie Lee,Rattray,Jamie Lee Rattray,47,F,1992-09-30,"Kanata, Ontario, Canada","Kanata, ON",Canada,5'6,L,,https://assets.leaguestat.com/pwhl/240x240/16.jpg,Boston Fleet,BOS
160,Alexandra,Poznikoff,Alexandra Poznikoff,17,F,1997-05-16,NA,"Edmonton, AB",,,R,R,https://assets.leaguestat.com/pwhl/240x240/160.jpg,PWHL Montreal,MTL
161,Tereza,Vanišová,Tereza Vanišová,13,F,1996-01-30,"Strakonice, Czechia, Czechia","Strakonice, CZE",Czechia,5'7,L,R,https://assets.leaguestat.com/pwhl/240x240/161.jpg,Vancouver Goldeneyes,VAN
162,Madison,Bizal,Madison Bizal,9,D,2000-01-25,NA,"Elk River, MN",,,L,L,https://assets.leaguestat.com/pwhl/240x240/162.jpg,Minnesota Frost,MIN
163,Catherine,Daoust,Catherine Daoust,4,D,1995-02-21,"Montréal, Québec, Canada","L’Île-Bizard, QC",Canada,5'5,R,R,https://assets.leaguestat.com/pwhl/240x240/163.jpg,Montréal Victoire,MTL
164,Brigitte,Laganière,Brigitte Laganière,10,D,1996-08-01,NA,"Montréal, QC",,,L,R,https://assets.leaguestat.com/pwhl/240x240/164.jpg,PWHL Montreal,MTL
165,Maude,Poulin-Labelle,Maude Poulin-Labelle,76,D,1999-11-23,NA,"Sherbrooke, QC",,,L,R,https://assets.leaguestat.com/pwhl/240x240/165.jpg,Boston Fleet,BOS
167,Sidney,Morin,Sidney Morin,5,D,1995-06-06,"Minnetonka, Minnesota, United States","Minnetonka, MN",United States,5'5,R,R,https://assets.leaguestat.com/pwhl/240x240/167.jpg,Minnesota Frost,MIN
168,Mélodie,Daoust,Mélodie Daoust,25,F,1992-01-07,NA,"Valleyfield, QC",,,L,R,https://assets.leaguestat.com/pwhl/240x240/168.jpg,PWHL Montreal,MTL
169,Claire,Thompson,Claire Thompson,42,D,1998-01-28,"Toronto, Ontario, Canada","Toronto, ON",Canada,5'8,L,L,https://assets.leaguestat.com/pwhl/240x240/169.jpg,Vancouver Goldeneyes,VAN
17,Theresa,Schafzahl,Theresa Schafzahl,17,F,2000-04-12,"Weiz, Austria","Weiz, AUT",Austria,5'8,L,,https://assets.leaguestat.com/pwhl/240x240/17.jpg,Boston Fleet,BOS
175,Kelly,Babstock,Kelly Babstock,88,RW,1992-08-04,"Mississauga, Ontario, Canada","Mississauga, ON",Canada,5'5,R,R,https://assets.leaguestat.com/pwhl/240x240/175.jpg,Boston Fleet,BOS
18,Sophie,Shirley,Sophie Shirley,9,F,1999-06-30,"Saskatoon, Saskatchewan, Canada","Saskatoon, SK",Canada,5'9,R,,https://assets.leaguestat.com/pwhl/240x240/18.jpg,Boston Fleet,BOS
180,Sydney,Bard,Sydney Bard,11,D,2001-01-15,"New Hartford, New York, United States","New Hartford, NY",United States,5'3,R,,https://assets.leaguestat.com/pwhl/240x240/180.jpg,Vancouver Goldeneyes,VAN
181,Hannah,Bilka,Hannah Bilka,19,F,2001-03-24,"Coppell, Texas, United States","Coppell, TX",United States,5'5,L,,https://assets.leaguestat.com/pwhl/240x240/181.jpg,Seattle Torrent,SEA
183,Shay,Maloney,Shay Maloney,27,F,2000-01-13,"McHenry, Illinois, United States","McHenry, IL",United States,5'9,R,,https://assets.leaguestat.com/pwhl/240x240/183.jpg,Boston Fleet,BOS
185,Daniela,Pejšová,Daniela Pejšová,55,D,2002-08-14,"Teplice, Czechia","Teplice, CZE",Czechia,5'8,L,,https://assets.leaguestat.com/pwhl/240x240/185.jpg,Boston Fleet,BOS
187,Charlotte,Akervik,Charlotte Akervik,8,D,2001-02-17,"Eau Claire, Wisconsin, United States","Eau Claire, WI",United States,5'10,R,,https://assets.leaguestat.com/pwhl/240x240/187.jpg,Minnesota Frost,MIN
188,Mae,Batherson,Mae Batherson,21,D,2000-12-05,"New Minas , Nova Scotia, Canada","New Minas, NS",Canada,5'8,L,,https://assets.leaguestat.com/pwhl/240x240/188.jpg,Minnesota Frost,MIN
189,Britta,Curl-Salemme,Britta Curl-Salemme,77,F,2000-03-20,"Bismarck, North Dakota, United States","Bismarck, ND",United States,5'9,L,,https://assets.leaguestat.com/pwhl/240x240/189.jpg,Minnesota Frost,MIN
190,Klára,Hymlárová,Klára Hymlárová,71,F,1999-02-27,"Opava, Czechia","Opava, CZE",Czechia,5'5,L,,https://assets.leaguestat.com/pwhl/240x240/190.jpg,Minnesota Frost,MIN
191,Katy,Knoll,Katy Knoll,6,F,2001-01-16,"Amherst, New York, United States","Amherst, NY",United States,"5'7""",R,,https://assets.leaguestat.com/pwhl/240x240/191.jpg,Minnesota Frost,MIN
192,Brooke,McQuigge,Brooke McQuigge,26,F,2000-06-09,"Bowmanville, Ontario, Canada","Bowmanville, ON",Canada,"5'8""",L,,https://assets.leaguestat.com/pwhl/240x240/192.jpg,Vancouver Goldeneyes,VAN
194,Kaitlyn,O'Donohoe,Kaitlyn O'Donohoe,16,F,2001-09-20,"Atlanta, Georgia, United States","Atlanta, GA",United States,5'7,R,R,https://assets.leaguestat.com/pwhl/240x240/194.jpg,Minnesota Frost,MIN
195,Dominique,Petrie,Dominique Petrie,14,F,2001-01-21,"Hermosa Beach, California, United States","Hermosa Beach, CA",United States,5'7,R,,https://assets.leaguestat.com/pwhl/240x240/195.jpg,Minnesota Frost,MIN
196,Cayla,Barnes,Cayla Barnes,3,D,1999-01-07,"Eastvale, California, United States","Eastvale, CA",United States,"5'2""",R,,https://assets.leaguestat.com/pwhl/240x240/196.jpg,Seattle Torrent,SEA
198,Jenn,Gardiner,Jenn Gardiner,12,F,2001-09-18,"Surrey, British Columbia, Canada","Surrey, BC",Canada,5'6,L,,https://assets.leaguestat.com/pwhl/240x240/198.jpg,Vancouver Goldeneyes,VAN
199,Dara,Greig,Dara Greig,17,F,2000-12-30,"Camden, New Jersey, United States","Camden, NJ",United States,5'7'',L,,https://assets.leaguestat.com/pwhl/240x240/199.jpg,Montréal Victoire,MTL
2,Emily,Brown,Emily Brown,11,D,1998-12-30,"Blaine, Minnesota, United States","Blaine, MN",United States,5'7,L,,https://assets.leaguestat.com/pwhl/240x240/2.jpg,Seattle Torrent,SEA
20,Kendall,Coyne Schofield,Kendall Coyne Schofield,26,F,1992-05-25,"Palos Heights, Illinois, United States","Palos Heights, IL",United States,5'2,L,,https://assets.leaguestat.com/pwhl/240x240/20.jpg,Minnesota Frost,MIN
200,Anna,Kjellbin,Anna Kjellbin,71,D,1994-03-16,"Göteberg, Sweden","Göteberg, SWE",Sweden,"5'7""",R,,https://assets.leaguestat.com/pwhl/240x240/200.jpg,Toronto Sceptres,TOR
201,Lina,Ljungblom,Lina Ljungblom,25,F,2001-10-15,"Skövde, Sweden","Skövde, SWE",Sweden,5'9,L,,https://assets.leaguestat.com/pwhl/240x240/201.jpg,Montréal Victoire,MTL
202,Kelly Ann,Nadeau,Kelly Ann Nadeau,51,D,1998-03-30,"Mont-Laurier, Québec, Canada","Mont-Laurier, QC",Canada,5'7,R,,https://assets.leaguestat.com/pwhl/240x240/202.jpg,Montréal Victoire,MTL
203,Anna,Wilgren,Anna Wilgren,5,D,1999-11-10,"Hudson, Wisconsin, United States","Hudson, WI",United States,"5'8""",L,,https://assets.leaguestat.com/pwhl/240x240/203.jpg,Seattle Torrent,SEA
204,Emmy,Fecteau,Emmy Fecteau,29,F,1999-04-07,"Saint-Odilon-de-Cranbourn, Québec, Canada",Saint-Odilon-de-Cranbourn,Canada,5'6,L,L,https://assets.leaguestat.com/pwhl/240x240/204.jpg,New York Sirens,NY
205,Sarah,Fillier,Sarah Fillier,10,F,2000-06-09,"Georgetown, Ontario, Canada","Georgetown, ON",Canada,5'5,R,R,https://assets.leaguestat.com/pwhl/240x240/205.jpg,New York Sirens,NY
206,Elle,Hartje,Elle Hartje,4,F,2001-04-13,"Detroit, Michigan, United States","Detroit, MI ",United States,5'5,L,L,https://assets.leaguestat.com/pwhl/240x240/206.jpg,New York Sirens,NY
207,Lauren,Bernard,Lauren Bernard,16,D,2001-07-15,"Madison , Ohio, United States","Madison, OH",United States,5'7,L,,https://assets.leaguestat.com/pwhl/240x240/207.jpg,New York Sirens,NY
208,Megan,Carter,Megan Carter,27,D,2001-05-23,"Milton, Ontario, Canada","Milton, ON",Canada,5'8,L,,https://assets.leaguestat.com/pwhl/240x240/208.jpg,Seattle Torrent,SEA
209,Izzy,Daniel,Izzy Daniel,8,F,2000-09-29,"Minneapolis, Minnesota, United States","Minneapolis, MN",United States,"5'5""",R,,https://assets.leaguestat.com/pwhl/240x240/209.jpg,Vancouver Goldeneyes,VAN
21,Taylor,Heise,Taylor Heise,27,F,2000-03-17,"Lake City, Minnesota, United States","Lake City, MN",United States,5'10,R,,https://assets.leaguestat.com/pwhl/240x240/21.jpg,Minnesota Frost,MIN
210,Julia,Gosling,Julia Gosling,88,F,2001-02-21,"London, Ontario, Canada","London, ON",Canada,"5'10""",L,,https://assets.leaguestat.com/pwhl/240x240/210.jpg,Seattle Torrent,SEA
212,Laura,Kluge,Laura Kluge,25,F,1996-11-06,"Berlin, Germany","Berlin, GER",Germany,5'10,L,,https://assets.leaguestat.com/pwhl/240x240/212.jpg,Boston Fleet,BOS
213,Anneke,Rankila,Anneke Rankila,13,F,1999-11-10,"Lino Lakes, Minnesota, United States","Lino Lakes, MN",United States,5'10,R,,https://assets.leaguestat.com/pwhl/240x240/213.jpg,Toronto Sceptres,TOR
214,Noemi,Neubauerová,Noemi Neubauerová,61,F,1999-12-15,"Prague, Czechia","Prague, CZE",Czechia,"5'8""",R,,https://assets.leaguestat.com/pwhl/240x240/214.jpg,Toronto Sceptres,TOR
215,Jessica,Adolfsson,Jessica Adolfsson,15,D,1998-07-15,"Linköping, Sweden","Linköping, SWE",Sweden,5'9,L,,https://assets.leaguestat.com/pwhl/240x240/215.jpg,Ottawa Charge,OTT
217,Taylor,House,Taylor House,22,F,1998-09-29,"Joliet, Illinois, United States","Joliet, IL",United States,5'10,L,,https://assets.leaguestat.com/pwhl/240x240/217.jpg,Ottawa Charge,OTT
219,Stephanie,Markowski,Stephanie Markowski,6,D,2001-08-24,"Edmonton, Alberta, Canada","Edmonton, AB",Canada,5'8,L,,https://assets.leaguestat.com/pwhl/240x240/219.jpg,Ottawa Charge,OTT
220,Mannon,McMahon,Mannon McMahon,18,F,2001-07-29,"Maple Grove, Minnesota, United States","Maple Grove, MN",United States,5'7,R,,https://assets.leaguestat.com/pwhl/240x240/220.jpg,Ottawa Charge,OTT
221,Anna,Meixner,Anna Meixner,94,F,1994-06-16,"Zell Am See, Austria","Zell Am See, AUT",Austria,5'3,L,,https://assets.leaguestat.com/pwhl/240x240/221.jpg,Ottawa Charge,OTT
223,Ronja,Savolainen,Ronja Savolainen,88,D,1997-11-29,"Helsinki, Finland","Helsinki, FIN",Finland,5'10,L,,https://assets.leaguestat.com/pwhl/240x240/223.jpg,Ottawa Charge,OTT
224,Danielle,Serdachny,Danielle Serdachny,92,F,2001-05-12,"Edmonton, Alberta, Canada","Edmonton, AB",Canada,"5'9""",R,,https://assets.leaguestat.com/pwhl/240x240/224.jpg,Seattle Torrent,SEA
227,Gabby,Rosenthal,Gabby Rosenthal,15,F,1999-09-13,"Blaine , Minnesota, United States","Blaine, MN",United States,5'7,R,,https://assets.leaguestat.com/pwhl/240x240/227.jpg,Vancouver Goldeneyes,VAN
229,Maja,Nylen Persson,Maja Nylen Persson,8,D,2000-11-20,"Avesta, Sweden","Avesta, SWE",Sweden,"5'5""",R,,https://assets.leaguestat.com/pwhl/240x240/229.jpg,New York Sirens,NY
23,Kelly,Pannek,Kelly Pannek,12,F,1995-12-29,"Plymouth, Minnesota, United States","Plymouth, MN",United States,"5'7""",R,,https://assets.leaguestat.com/pwhl/240x240/23.jpg,Minnesota Frost,MIN
230,Allyson,Simpson,Allyson Simpson,20,D,2000-12-20,"Frisco, Texas, United States","Frisco, TX",United States,"5'8""",R,,https://assets.leaguestat.com/pwhl/240x240/230.jpg,New York Sirens,NY
231,Noora,Tulus,Noora Tulus,40,F,1995-08-15,"Vantaa, Finland","Vantaa, FIN",Finland,"5'5""",R,,https://assets.leaguestat.com/pwhl/240x240/231.jpg,New York Sirens,NY
232,Rylind,MacKinnon,Rylind MacKinnon,53,D,2000-03-05,"Cranbrook, British Columbia, Canada","Cranbrook, BC",Canada,5'10,L,L,https://assets.leaguestat.com/pwhl/240x240/232.jpg,Boston Fleet,BOS
235,Emma,Bergesen,Emma Bergesen,42,D,1999-11-01,"Stavanger, Norway","Stavanger, NOR",Norway,5'8,R,R,,Ottawa Charge,OTT
237,Jenna,Buglioni,Jenna Buglioni,10,F,2002-03-13,"Port Moody, British Columbia, Canada","Port Moody, BC",Canada,5'3,R,,https://assets.leaguestat.com/pwhl/240x240/237.jpg,Seattle Torrent,SEA
239,Anna,Shokhina,Anna Shokhina,97,F,1997-06-23,"Novosinkovo, Russia","Novosinkovo, RUS",Russia,5'6,L,R,https://assets.leaguestat.com/pwhl/240x240/239.jpg,Ottawa Charge,OTT
24,Lee,Stecklein,Lee Stecklein,2,D,1994-04-23,"Roseville , Minnesota, United States","Roseville, MN",United States,"6'0""",L,,https://assets.leaguestat.com/pwhl/240x240/24.jpg,Minnesota Frost,MIN
240,Fanuza,Kadirova,Fanuza Kadirova,71,F,1998-04-06,"Kukmor, Russia","Kukmor, RUS",Russia,5'4,L,R,https://assets.leaguestat.com/pwhl/240x240/240.jpg,Ottawa Charge,OTT
241,Sarah,Wozniewicz,Sarah Wozniewicz,23,F,2003-08-25,"Cochrane, Alberta, Canada","Cochrane, AB",Canada,5'7,R,R,https://assets.leaguestat.com/pwhl/240x240/241.jpg,Ottawa Charge,OTT
242,Rory,Guilday,Rory Guilday,5,D,2002-09-07,"Chanhassen, Minnesota, United States","Chanhassen, MN",United States,5'11,L,,https://assets.leaguestat.com/pwhl/240x240/242.jpg,Ottawa Charge,OTT
245,Kristýna,Kaltounková,Kristýna Kaltounková,98,F,2002-04-14,"Vlašim, CZE, Czechia","Vlašim, CZE",Czechia,5'9,L,R,https://assets.leaguestat.com/pwhl/240x240/245.jpg,New York Sirens,NY
248,Anna,Segedi,Anna Segedi,51,F,2000-12-20,"Commerce Township , Michigan, United States","Commerce Township, MI",United States,5'5,L,R,https://assets.leaguestat.com/pwhl/240x240/248.jpg,Vancouver Goldeneyes,VAN
249,Anne,Cherkowski,Anne Cherkowski,24,F,2002-07-06,"Coldstream,, British Columbia, Canada","Coldstream, BC",Canada,5’6”,R,R,https://assets.leaguestat.com/pwhl/240x240/249.jpg,New York Sirens,NY
25,Grace,Zumwinkle,Grace Zumwinkle,13,F,1999-04-23,"Excelsior, Minnesota, United States","Excelsior, MN",United States,"5'9""",R,,https://assets.leaguestat.com/pwhl/240x240/25.jpg,Minnesota Frost,MIN
252,Michelle,Karvinen,Michelle Karvinen,33,F,1990-03-27,"Rødovre, Denmark, Denmark","Rødovre, DEN",Denmark,5'6,L,,https://assets.leaguestat.com/pwhl/240x240/252.jpg,Vancouver Goldeneyes,VAN
253,Nicole,Gosling,Nicole Gosling,61,D,2002-04-21,"London, Ontario","London, ON",,5'6,L,R,https://assets.leaguestat.com/pwhl/240x240/253.jpg,Montréal Victoire,MTL
26,Claire,Dalton,Claire Dalton,42,F,2000-03-20,"Toronto, Ontario, Canada","Toronto, ON",Canada,"5'9""",R,,https://assets.leaguestat.com/pwhl/240x240/26.jpg,Toronto Sceptres,TOR
27,Jillian,Dempsey,Jillian Dempsey,14,LW,1991-01-19,"Winthrop, Massachussetts, United States","Winthrop, MA",United States,5'5,L,,https://assets.leaguestat.com/pwhl/240x240/27.jpg,Boston Fleet,BOS
272,Skylar,Irving,Skylar Irving,88,F,2002-01-21,"Kingston, Massachussetts, United States","Kingston, MA",United States,5'8'',R,R,https://assets.leaguestat.com/pwhl/240x240/272.jpg,Montréal Victoire,MTL
274,Natálie,Mlýnková,Natálie Mlýnková,96,F,2001-05-24,"Zlin, Czechia, Czechia","Zlin, CZE",Czechia,5'3'',L,L,https://assets.leaguestat.com/pwhl/240x240/274.jpg,Montréal Victoire,MTL
277,Anna,Bargman,Anna Bargman,22,F,2002-08-07,"Boxford, Massachussetts, United States","Boxford, MA",United States,5'8,L,L,https://assets.leaguestat.com/pwhl/240x240/277.jpg,New York Sirens,NY
280,Casey,O'Brien,Casey O'Brien,26,F,2001-08-27,"Milton, Massachussetts, United States","Milton, MA",United States,5'4,L,L,https://assets.leaguestat.com/pwhl/240x240/280.jpg,New York Sirens,NY
285,Maddi,Wheeler,Maddi Wheeler,18,F,2002-10-10,"Erinsville, Ontario, Canada","Erinsville, ON",Canada,5'4,L,L,https://assets.leaguestat.com/pwhl/240x240/285.jpg,New York Sirens,NY
286,Peyton,Hemp,Peyton Hemp,29,F,2003-05-15,"Andover, Minnesota, United States","Andover, MN",United States,5'5,R,R,https://assets.leaguestat.com/pwhl/240x240/286.jpg,Ottawa Charge,OTT
288,Vita,Poniatovskaia,Vita Poniatovskaia,9,D,2003-08-03,"Chelyabinsk, RUS, Russia","Chelyabinsk, RUS",Russia,5'8,R,R,https://assets.leaguestat.com/pwhl/240x240/288.jpg,Ottawa Charge,OTT
